username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
BlogTupelo,,"Looking to learn more about astrology and moon phases, I LOVE physical books. So, any recommendations for beginners . #Horoscopo #Astrology #spirituality #moonenergy #EarthDay2020 #innerpeace",0,0,0,1252942962629259265,https://twitter.com/BlogTupelo/status/1252942962629259265,1212914107495538689,2020-04-22 12:50:55+00:00,Wed Apr 22 12:50:55 +0000 2020,#Horoscopo #Astrology #spirituality #moonenergy #EarthDay2020 #EarthDay2020 #innerpeace,,,
MentorDivine,,#spiritual #faith #faithful #god #grace #pray #prayers #praying #amen #believe #spirituality #trust #peace #calm #mind #soul #hope #destiny #wisdom #compassion #forgiveness #thankful #knowledge #meditation #life #meditate #guidance,1,0,0,1252942574245023745,https://twitter.com/MentorDivine/status/1252942574245023745,24379372,2020-04-22 12:49:22+00:00,Wed Apr 22 12:49:22 +0000 2020,#spiritual #faith #faithful #god #grace #pray #prayers #praying #amen #believe #spirituality #trust #peace #calm #mind #soul #hope #destiny #wisdom #compassion #forgiveness #thankful #knowledge #meditation #life #meditate #guidance,,,
TNBadrick,,"Just for you @Diane_Dee. Super surreal suspended #spirituality in tree branches and background around a rural property on outskirts of #Laidley, #LockyerValley.",0,2,1,1252942494498611208,https://twitter.com/TNBadrick/status/1252942494498611208,2848619851,2020-04-22 12:49:03+00:00,Wed Apr 22 12:49:03 +0000 2020,#spirituality #Laidley #LockyerValley,@Diane_Dee,,
ShwetaVarpe,,"All the seven chakras are connected to the various organs and glands within the body. These chakras are responsible for disturbing life energy, which is also known as Praana. #yoga #yogalove #yogapractice #spirituality #meditation #peace #chakras #shwetyoga #shwetyogaclasses",1,0,0,1252942295826984960,https://twitter.com/ShwetaVarpe/status/1252942295826984960,878142472999718912,2020-04-22 12:48:16+00:00,Wed Apr 22 12:48:16 +0000 2020,#yoga #yogalove #yogapractice #spirituality #meditation #peace #chakras #shwetyoga #shwetyogaclasses,,,
TrisagionWisdom,,"He (#Jesus) tasted death for the sake of all; although by nature, He, Himself was the Life and resurrection... #Christianity #Orthodoxy #Spirituality #Wisdom #ChurchFathersQuotes #Bible #Scripture #HolyTradition #Apologetics #Resurrection #Easter",0,0,0,1252941335205679105,https://twitter.com/TrisagionWisdom/status/1252941335205679105,1489111585,2020-04-22 12:44:27+00:00,Wed Apr 22 12:44:27 +0000 2020,#Jesus #Christianity #Orthodoxy #Spirituality #Wisdom #ChurchFathersQuotes #Bible #Scripture #HolyTradition #Apologetics #Resurrection #Easter #Easter,,,
selfimprovment,,Via Fb - http://bit.ly/32EHi7d Taurus Dark Earth New Moon - https://www.facebook.com/109794003867298_149476516565713 #motivational #psychic #succeed #inspirational #spiritual #forecast #secrets #spirituality,0,0,0,1252940997278957568,https://twitter.com/selfimprovment/status/1252940997278957568,82741112,2020-04-22 12:43:06+00:00,Wed Apr 22 12:43:06 +0000 2020,#motivational #psychic #succeed #inspirational #spiritual #forecast #secrets #spirituality,,,"http://bit.ly/32EHi7d,https://www.facebook.com/109794003867298_149476516565713"
codesofenergy,,Today is Yellow Spectral Seed ​ How do I Dissolve to Release Liberation? Direct with the essence of Awareness and the power of Blooming. #mayancalendar #mayanastrology #tzolkin #newage #meditation #consciousness #spirituality #astrology #meditate #newworld #tikal,1,0,0,1252940808245764099,https://twitter.com/codesofenergy/status/1252940808245764099,1246268668456996864,2020-04-22 12:42:21+00:00,Wed Apr 22 12:42:21 +0000 2020,#mayancalendar #mayanastrology #tzolkin #newage #meditation #consciousness #spirituality #astrology #meditate #newworld #newworld #tikal,,,
MorningSWriters,,"#MorningPages A sacred vow, once spoken, becomes a part of your existence forevermore. http://ow.ly/MbVC30qzO2Y #Spirituality #Sacred #Manifesting #MagicalThinking #Meditation #DoTheWork",1,0,0,1252940757935292417,https://twitter.com/MorningSWriters/status/1252940757935292417,94721558,2020-04-22 12:42:09+00:00,Wed Apr 22 12:42:09 +0000 2020,#MorningPages #Spirituality #Sacred #Manifesting #MagicalThinking #Meditation #DoTheWork,,,http://ow.ly/MbVC30qzO2Y
KeneritzMedia,,"#MorningPages A sacred vow, once spoken, becomes a part of your existence forevermore. http://ow.ly/MbVC30qzO2Y #Spirituality #Sacred #Manifesting #MagicalThinking #Meditation #DoTheWork",1,0,0,1252940702776012802,https://twitter.com/KeneritzMedia/status/1252940702776012802,65261290,2020-04-22 12:41:56+00:00,Wed Apr 22 12:41:56 +0000 2020,#MorningPages #Spirituality #Sacred #Manifesting #MagicalThinking #Meditation #DoTheWork,,,http://ow.ly/MbVC30qzO2Y
HarlemWriter,,"#MorningPages A sacred vow, once spoken, becomes a part of your existence forevermore. http://ow.ly/MbVC30qzO2Y #Spirituality #Sacred #Manifesting #MagicalThinking #Meditation #DoTheWork",1,0,0,1252940625042911232,https://twitter.com/HarlemWriter/status/1252940625042911232,14503090,2020-04-22 12:41:38+00:00,Wed Apr 22 12:41:38 +0000 2020,#MorningPages #Spirituality #Sacred #Manifesting #MagicalThinking #Meditation #DoTheWork,,,http://ow.ly/MbVC30qzO2Y
God4AllSeasons,,You can read the full blog article on my website https://godforallseasons.com/the-guest-house/ #theguesthouse #choosegod #spiritualgrowth #askgod #god #leanintogodslove #faith #trust #hope #godforallseasons #spirituality #seekgod #love #godiswithme #personalrelationshipwithgod #godsguidance #pray,0,0,0,1252939879408943104,https://twitter.com/God4AllSeasons/status/1252939879408943104,1129841692801155079,2020-04-22 12:38:40+00:00,Wed Apr 22 12:38:40 +0000 2020,#theguesthouse #choosegod #spiritualgrowth #askgod #god #leanintogodslove #faith #trust #hope #godforallseasons #spirituality #seekgod #love #godiswithme #personalrelationshipwithgod #godsguidance #pray,,,https://godforallseasons.com/the-guest-house/
PamelaObrown,,"Your magick is within, turn towards it to gather the energy needed to proceed to the next step in life. Think of it as an epic journey with many destinations. Gather what you need then move on, remember what was learned. #spirituality #tarot #darkmoon #magick",0,1,0,1252939735498137601,https://twitter.com/PamelaObrown/status/1252939735498137601,1104400691559391232,2020-04-22 12:38:06+00:00,Wed Apr 22 12:38:06 +0000 2020,#spirituality #tarot #darkmoon #magick,,,
aspiritualis,,Faith Produces Fruit #scripture #spritualjourney #spirituality #theword #holybible #faithful #faith #prayer #wisdom #peace #hope #mystery #strength #courage #grace #spiritualeyes #spirit #wordoftheday #holyspirit… https://www.instagram.com/p/B_SImJ9nBfY/?igshid=xho7ajqu7ewe,0,0,0,1252939100958666754,https://twitter.com/aspiritualis/status/1252939100958666754,1046202889025277960,2020-04-22 12:35:34+00:00,Wed Apr 22 12:35:34 +0000 2020,#scripture #spritualjourney #spirituality #theword #holybible #faithful #faith #prayer #wisdom #peace #hope #mystery #strength #courage #grace #spiritualeyes #spirit #wordoftheday #holyspirit,,,https://www.instagram.com/p/B_SImJ9nBfY/?igshid=xho7ajqu7ewe
leejenkins,,Always look forward to better times and conditions more prosperous #bobproctor #realtor #broker #mortgage #realestate #mortgagebrokers #lawofattraction #thesecret #musician #singer #song #napoleonhill #success #mindset #inspiration #spirituality ,0,1,0,1252938782174781440,https://twitter.com/leejenkins/status/1252938782174781440,23205835,2020-04-22 12:34:18+00:00,Wed Apr 22 12:34:18 +0000 2020,#bobproctor #realtor #broker #mortgage #realestate #mortgagebrokers #lawofattraction #thesecret #musician #singer #song #napoleonhill #success #mindset #inspiration #spirituality,,,
lornaejlewis,,Lovin the Gaia app #spirituality,0,0,0,1252938172444663808,https://twitter.com/lornaejlewis/status/1252938172444663808,2628587649,2020-04-22 12:31:53+00:00,Wed Apr 22 12:31:53 +0000 2020,#spirituality,,,
dlt_books,,"NEW ON THE BLOG God of Earworms and Other Surprises - Carolyn Whitney-Brown https://dartonlongmanandtodd.blogspot.com/2020/04/god-of-earworms-and-other-surprises-by.html A reflection inspired by Gerard W. Hughes' seminal work, God of Surprises - available in paperback and as an eBook from http://www.dltebooks.com . #spirituality #God #DLTBlog",0,0,0,1252938070426628097,https://twitter.com/dlt_books/status/1252938070426628097,334141955,2020-04-22 12:31:29+00:00,Wed Apr 22 12:31:29 +0000 2020,#spirituality #God #DLTBlog,,,"https://dartonlongmanandtodd.blogspot.com/2020/04/god-of-earworms-and-other-surprises-by.html,http://www.dltebooks.com"
